X--Trace 1::[(V(PR3)-V(PR2))],Y--Trace 1::[(V(PR3)-V(PR2))],,X--Trace 2::[-I(Rd:2) | I(PR1)],Y--Trace 2::[-I(Rd:2) | I(PR1)],,X--Trace 3::[V(1) | V(PR3)],Y--Trace 3::[V(1) | V(PR3)]
-4.5,0.499995794,,-4.5,4.16363E-09,,-4.5,-4.500004164
-4.49,0.50999571,,-4.49,4.24701E-09,,-4.49,-4.490004247
-4.48,0.519995626,,-4.48,4.33038E-09,,-4.48,-4.48000433
-4.47,0.529995542,,-4.47,4.41375E-09,,-4.47,-4.470004414
-4.46,0.539995458,,-4.46,4.49712E-09,,-4.46,-4.460004497
-4.45,0.549995373,,-4.45,4.5805E-09,,-4.45,-4.45000458
-4.44,0.559995289,,-4.44,4.66387E-09,,-4.44,-4.440004664
-4.43,0.569995205,,-4.43,4.74724E-09,,-4.43,-4.430004747
-4.42,0.579995121,,-4.42,4.83061E-09,,-4.42,-4.420004831
-4.41,0.589995037,,-4.41,4.91399E-09,,-4.41,-4.410004914
-4.4,0.599994952,,-4.4,4.99736E-09,,-4.4,-4.400004997
-4.39,0.609994868,,-4.39,5.08073E-09,,-4.39,-4.390005081
-4.38,0.619994784,,-4.38,5.1641E-09,,-4.38,-4.380005164
-4.37,0.6299947,,-4.37,5.24748E-09,,-4.37,-4.370005247
-4.36,0.639994616,,-4.36,5.33085E-09,,-4.36,-4.360005331
-4.35,0.649994531,,-4.35,5.41422E-09,,-4.35,-4.350005414
-4.34,0.659994447,,-4.34,5.4976E-09,,-4.34,-4.340005498
-4.33,0.669994363,,-4.33,5.58097E-09,,-4.33,-4.330005581
-4.32,0.679994279,,-4.32,5.66434E-09,,-4.32,-4.320005664
-4.31,0.689994195,,-4.31,5.74771E-09,,-4.31,-4.310005748
-4.3,0.69999411,,-4.3,5.83109E-09,,-4.3,-4.300005831
-4.29,0.709994026,,-4.29,5.91446E-09,,-4.29,-4.290005914
-4.28,0.719993942,,-4.28,5.99783E-09,,-4.28,-4.280005998
-4.27,0.729993858,,-4.27,6.0812E-09,,-4.27,-4.270006081
-4.26,0.739993774,,-4.26,6.16458E-09,,-4.26,-4.260006165
-4.25,0.749993689,,-4.25,6.24795E-09,,-4.25,-4.250006248
-4.24,0.759993605,,-4.24,6.33132E-09,,-4.24,-4.240006331
-4.23,0.769993521,,-4.23,6.41469E-09,,-4.23,-4.230006415
-4.22,0.779993437,,-4.22,6.49807E-09,,-4.22,-4.220006498
-4.21,0.789993353,,-4.21,6.58144E-09,,-4.21,-4.210006581
-4.2,0.799993268,,-4.2,6.66481E-09,,-4.2,-4.200006665
-4.19,0.809993184,,-4.19,6.74818E-09,,-4.19,-4.190006748
-4.18,0.8199931,,-4.18,6.83156E-09,,-4.18,-4.180006832
-4.17,0.829993016,,-4.17,6.91493E-09,,-4.17,-4.170006915
-4.16,0.839992931,,-4.16,6.9983E-09,,-4.16,-4.160006998
-4.15,0.849992847,,-4.15,7.08168E-09,,-4.15,-4.150007082
-4.14,0.859992763,,-4.14,7.16505E-09,,-4.14,-4.140007165
-4.13,0.869992679,,-4.13,7.24842E-09,,-4.13,-4.130007248
-4.12,0.879992595,,-4.12,7.33179E-09,,-4.12,-4.120007332
-4.11,0.88999251,,-4.11,7.41517E-09,,-4.11,-4.110007415
-4.1,0.899992426,,-4.1,7.49854E-09,,-4.1,-4.100007499
-4.09,0.909992342,,-4.09,7.58191E-09,,-4.09,-4.090007582
-4.08,0.919992258,,-4.08,7.66528E-09,,-4.08,-4.080007665
-4.07,0.929992174,,-4.07,7.74866E-09,,-4.07,-4.070007749
-4.06,0.939992089,,-4.06,7.83203E-09,,-4.06,-4.060007832
-4.05,0.949992005,,-4.05,7.9154E-09,,-4.05,-4.050007915
-4.04,0.959991921,,-4.04,7.99877E-09,,-4.04,-4.040007999
-4.03,0.969991837,,-4.03,8.08215E-09,,-4.03,-4.030008082
-4.02,0.979991753,,-4.02,8.16552E-09,,-4.02,-4.020008166
-4.01,0.989991668,,-4.01,8.24889E-09,,-4.01,-4.010008249
-4,0.999991584,,-4,8.33226E-09,,-4,-4.000008332
-3.99,1.0099915,,-3.99,8.41564E-09,,-3.99,-3.990008416
-3.98,1.019991416,,-3.98,8.49901E-09,,-3.98,-3.980008499
-3.97,1.029991332,,-3.97,8.58238E-09,,-3.97,-3.970008582
-3.96,1.039991247,,-3.96,8.66576E-09,,-3.96,-3.960008666
-3.95,1.049991163,,-3.95,8.74913E-09,,-3.95,-3.950008749
-3.94,1.059991079,,-3.94,8.8325E-09,,-3.94,-3.940008833
-3.93,1.069990995,,-3.93,8.91587E-09,,-3.93,-3.930008916
