Time (s),Channel 1 (V),Channel 2 (V)
0.0002839999999999995,-0.353606856748812,0.7640124763155173
0.0002865000000000003,-0.3512864120547375,0.7683744890785044
0.0002889999999999993,-0.3483029831623575,0.7747497385013288
0.0002915000000000001,-0.3449880621708213,0.7817960668107723
0.0002939999999999991,-0.3413416490801346,0.7885068556769034
0.0002964999999999999,-0.3380267280885981,0.795553183986347
0.0002990000000000007,-0.3347118070970622,0.8019284334091766
0.0003014999999999997,-0.3323913624029889,0.8069615250587748
0.0003040000000000005,-0.3300709177089144,0.8130012350382954
0.0003064999999999995,-0.3267559967173796,0.8193764844611227
0.0003090000000000002,-0.3234410757258447,0.8264228127705634
0.0003114999999999993,-0.319794662635158,0.8331336016366944
0.000314,-0.316811233742775,0.8395088510595247
0.0003165000000000008,-0.313496312751239,0.845884100482354
0.0003189999999999998,-0.3108443759580123,0.8502461132453391
0.0003215000000000006,-0.3085239312639361,0.8569569021114758
0.0003239999999999996,-0.304546026074096,0.8629966120909935
0.0003265000000000004,-0.3015625971817147,0.8693718615138208
0.0003289999999999994,-0.2979161840910263,0.8767537292665682
0.0003315000000000002,-0.2952642472977984,0.8827934392460889
0.0003339999999999992,-0.2916178342071118,0.8895042281122199
0.0003365,-0.2892973895130357,0.8942017803185166
0.0003390000000000008,-0.2859824685214995,0.9005770297413468
0.0003414999999999998,-0.2829990396291195,0.9069522791641712
0.0003440000000000006,-0.2793526265384296,0.9139986074736145
0.0003464999999999996,-0.2760377055468963,0.9197027780098258
0.0003490000000000004,-0.2733857687536684,0.9260780274326531
0.0003514999999999994,-0.2707338319604417,0.9314466585255579
0.0003540000000000001,-0.2677504030680591,0.9364797501751607
0.0003564999999999992,-0.2644354820765258,0.9428549995979851
0.0003589999999999999,-0.2614520531841429,0.9488947095775087
0.0003615000000000007,-0.2581371321926065,0.9559410378869522
0.0003639999999999997,-0.2548222112010732,0.9623162873097766
0.0003665000000000005,-0.2508443060112314,0.9693626156192173
0.0003689999999999995,-0.2485238613171569,0.9733890889388976
0.0003715000000000003,-0.245871924523929,0.9794287989184183
0.0003739999999999993,-0.2425570035323957,0.9858040483412427
0.0003765000000000001,-0.2395735746400128,0.9918437583207662
0.0003789999999999991,-0.2359271615493261,0.9985545471868972
0.0003814999999999999,-0.2326122405577896,1.005265336053034
0.0003840000000000007,-0.228634335367947,1.011305046032556
0.0003864999999999997,-0.2269768748721804,1.014324901022315
0.0003890000000000005,-0.223330461781492,1.021706768775062
0.0003914999999999995,-0.2203470328891106,1.027746478754583
0.0003940000000000003,-0.2173636039967292,1.033450649290797
0.0003964999999999993,-0.2133856988068892,1.039825898713621
0.000399,-0.2097392857161991,1.046536687579758
0.0004015000000000008,-0.2074188410221235,1.049892082012828
0.0004039999999999998,-0.2047669042288968,1.055596252549039
0.0004065000000000006,-0.2014519832373603,1.061971501971869
0.0004089999999999996,-0.1978055701466736,1.068011211951387
0.0004115000000000004,-0.1944906491551387,1.074722000817521
0.0004139999999999994,-0.1905127439652969,1.081097250240348
0.0004165000000000002,-0.187860807172069,1.086130341889949
0.0004189999999999992,-0.1852088703788423,1.090492354652934
0.0004215,-0.1822254414864597,1.096867604075763
0.0004240000000000008,-0.1789105204949234,1.102907314055286
0.0004264999999999998,-0.17559559950339,1.108947024034804
0.0004290000000000006,-0.1719491864127005,1.115322273457634
0.0004314999999999996,-0.1692972496194738,1.120019825663925
0.0004340000000000004,-0.1656508365287855,1.125388456756832
0.0004364999999999994,-0.1629988997355588,1.130421548406431
0.0004390000000000002,-0.1593524866448692,1.13679679782926
0.0004414999999999992,-0.1567005498516425,1.142500968365471
0.000444,-0.15371712095926,1.148876217788301
0.0004465000000000007,-0.1497392157694165,1.154580388324518
0.0004489999999999997,-0.1460928026787298,1.160620098304036
0.0004515000000000005,-0.1441038500838089,1.16431103218041
0.0004539999999999995,-0.140788929092274,1.170015202716624
0.0004565000000000003,-0.1374740081007392,1.176054912696144
